Label,MetaboliteName
CurrencyMetabolite,NAD-P-OR-NOP
CurrencyMetabolite,NADH-P-OR-NOP
AbstractMetabolite,Donor-H2
AbstractMetabolite,Acceptor
ContextDependentMetabolite,HYDROGEN-PEROXIDE
CurrencyMetabolite,OXYGEN-MOLECULE
CurrencyMetabolite,NAD
CurrencyMetabolite,NADP
CurrencyMetabolite,NADH
CurrencyMetabolite,NADPH
CurrencyMetabolite,WATER
CurrencyMetabolite,CARBON-DIOXIDE
CurrencyMetabolite,FAD
CurrencyMetabolite,CO-A
CurrencyMetabolite,UDP
CurrencyMetabolite,AMMONIA
CurrencyMetabolite,NA+
CurrencyMetabolite,AMMONIUM
CurrencyMetabolite,PROTON
CurrencyMetabolite,CARBON-MONOXIDE
CurrencyMetabolite,GTP
CurrencyMetabolite,ADP
CurrencyMetabolite,GDP
CurrencyMetabolite,AMP
CurrencyMetabolite,ATP
CurrencyMetabolite,3-5-ADP
CurrencyMetabolite,PPI
CurrencyMetabolite,Pi
